Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
XP_044418252.1	XP_044418252.1			559				1.0	0.999	26	808	30	808	76	114	50	58	87	42	48	28	50	33	28	35	44	64	30	21	3	6	2	3	3	1	0	0	2	1	1	1	1	5	1	0	76	114	50	58	87	42	48	28	50	33	28	35	44	64	30	21	1.9742572E9	4.254021E9	1.1189868E9	9.239502E8	1.755631E9	7.0536954E8	7.764125E8	2.6509574E8	9.5890266E8	6.864934E8	3.9353258E8	6.868975E8	8.2285075E8	1.0333388E9	7.462348E8	2.9719722E8	6.4553946E8	9.0117914E8	2.8033123E8	3.6357837E8	4.4961274E8	2.8370173E8	2.8074618E8	2.5804298E8	2.828418E8	2.8064986E8	2.3446566E8	2.6721675E8	2.8051898E8	2.9117104E8	2.851929E8	2.1242878E8	
XP_044418259.1	XP_044418259.1			497				0.9839	0.9987	2	3	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044418260.1
XP_044418261.1	XP_044418261.1			557				0.9699	0.9982	2	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418266.1	XP_044418266.1			500				1.0	0.999	20	3	3	270	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	3	30	32	18	30	20	15	22	33	23	7	7	10	11	6	0.0	0.0	1194076.1	0.0	0.0	0.0	0.0	0.0	0.0	3246218.5	2323171.2	0.0	0.0	0.0	0.0	5599040.5	0.0	0.0	1194076.1	0.0	0.0	0.0	0.0	0.0	0.0	3246218.5	2323171.2	0.0	0.0	0.0	0.0	0.0	
XP_044418269.1	XP_044418269.1			578				1.0	0.9986	7	3	0	147	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	11	17	8	12	12	16	12	6	9	13	4	10	7	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7047824E7	1.1657932E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7047824E7	1.1657932E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418275.1	XP_044418275.1			265				0.9956	0.999	9	13	13	519	4	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	102	128	10	40	61	7	5	1	39	34	21	17	19	26	3	6	1.8061374E8	4.7510656E9	0.0	6.8611976E7	1.1981267E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8061374E8	4.7510656E9	0.0	6.8611976E7	1.1981267E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418297.1	XP_044418297.1			265				1.0	0.999	8	93	5	342	11	48	0	4	11	0	1	0	4	4	3	1	2	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	105	8	23	42	4	4	1	22	21	12	7	10	12	2	4	4.389443E9	3.9780114E10	0.0	4.1696796E9	1.2583541E10	9553765.0	6.1103484E7	0.0	3.488438E9	2.714807E9	1.1541373E9	1.2712622E8	2.0921914E8	5.491184E8	0.0	0.0	7.436042E9	4.0686928E10	0.0	2.165328E9	1.1754215E10	7012369.0	5.852211E9	0.0	1.504039E9	1.2068484E9	6.473354E8	9.330939E7	1.5356478E8	4.4466054E8	0.0	0.0	
XP_044418299.1	XP_044418299.1			628				1.0	0.999	23	180	15	180	3	7	3	3	8	6	6	17	10	16	13	10	13	11	31	23	0	0	0	0	0	2	1	1	0	2	1	0	3	1	2	2	3	7	3	3	8	6	6	17	10	16	13	10	13	11	31	23	7257489.5	1.1748646E8	1.5258282E7	2.7224128E7	5.212144E7	3.6136852E7	4.4263812E7	1.25395624E8	9.347997E7	2.0701314E8	1.0821829E8	7.291441E7	1.736696E8	1.3120159E8	3.0522554E8	3.2378896E8	8.702794E7	5.8551428E7	3.604649E7	2.9744404E7	2.2789822E7	2.450541E7	2.969341E7	4.906144E7	6.32519E7	7.974914E7	5.400244E7	3.6947504E7	4.449167E7	5.444688E7	1.0730391E8	8.813773E7	
XP_044418306.1	XP_044418306.1			501				1.0	0.999	38	168	118	2851	4	6	13	16	13	19	9	7	16	5	7	15	11	13	8	6	1	2	10	10	10	17	9	5	9	3	5	11	8	8	5	5	136	218	204	243	167	247	146	94	293	240	190	178	173	178	89	55	1.4353071E7	4.164223E7	8.584923E8	6.5156954E8	3.1456384E8	1.204847E9	7.5907475E8	1.2824873E8	2.370219E8	3.2582166E7	2.6046576E8	4.846777E8	3.3470358E8	2.8146228E7	5.3195978E8	2.5348315E8	1.595457E8	1.8612187E8	1.5568227E8	2.5521437E8	1.7785576E8	3.341803E8	1.1853321E8	8.074418E7	2.5019474E8	1.4102094E8	1.7901947E8	1.6269152E8	1.6582571E8	1.0570054E8	1.2344757E8	1.10692936E8	
XP_044418307.1	XP_044418307.1			391				0.9859	0.9978	3	2	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4355016.0	0.0	1.664349E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2948911E7	0.0	5028823.5	0.0	0.0	
XP_044418319.1	XP_044418319.1			457				0.9986	0.9984	3	3	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7991543.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418321.1	XP_044418321.1			221				1.0	0.999	5	73	7	73	7	8	0	11	7	0	1	9	4	4	5	2	2	2	7	4	2	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	7	8	0	11	7	0	1	9	4	4	5	2	2	2	7	4	1.7574438E8	6.027001E8	0.0	6.713638E8	3.101454E8	0.0	3.1979004E7	4.8636966E8	1.3854534E8	1.6327042E8	2.7559712E8	4.449957E7	8.598366E8	3.430192E8	8.548539E8	5.1961446E8	1.3808744E8	4.2630413E8	0.0	4.120411E8	2.5929738E8	0.0	2.452134E7	3.4511E8	9.935411E7	9.8578904E7	1.9862168E8	7.78926E7	1.7632286E8	2.0228325E8	6.3642035E8	3.6379757E8	
XP_044418326.1	XP_044418326.1			223				0.9995	0.9986	10	1	1	414	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33	30	27	73	52	41	29	31	4	4	1	0	0	1	38	50	0.0	0.0	0.0	5730957.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418327.1	XP_044418327.1			781				1.0	0.999	21	23	4	113	0	0	5	0	0	0	2	0	0	0	0	4	4	2	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	22	1	1	7	10	4	2	0	0	16	16	13	15	6	0.0	0.0	1.5910386E8	0.0	0.0	0.0	7679503.0	0.0	0.0	0.0	0.0	1.10423256E8	1.4577824E8	5.9708892E7	1.04435176E8	3.1706124E7	0.0	0.0	7.75041E7	0.0	0.0	0.0	1.2946337E8	0.0	0.0	0.0	0.0	5.2109996E7	7.7374104E7	2.585015E7	1.2879813E8	4.8168324E7	
XP_044418335.1	XP_044418335.1			510				1.0	0.999	23	1364	0	1364	72	109	115	86	97	106	87	60	85	72	59	87	71	99	89	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	109	115	86	97	106	87	60	85	72	59	87	71	99	89	70	1.767782E9	1.9597546E9	1.8026066E9	1.3268567E9	1.3710542E9	1.8538337E9	1.8020262E9	1.0623733E9	1.5872347E9	1.0380679E9	9.633881E8	1.352939E9	1.2631781E9	2.3506074E9	2.0562376E9	1.7633842E9	7.363464E8	1.03716704E9	6.22433E8	4.9999066E8	5.3357824E8	6.066247E8	6.261272E8	4.8469258E8	5.537538E8	4.520132E8	3.8553718E8	4.532635E8	4.1548986E8	3.9423405E8	6.274093E8	6.705732E8	
XP_044418344.1	XP_044418344.1			379				0.999	0.9973	20	1	0	842	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	34	70	101	74	28	122	110	69	47	28	16	22	22	28	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3462143.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418345.1	XP_044418345.1			599				1.0	0.999	23	192	16	297	3	8	28	23	9	25	24	62	0	0	0	2	2	5	0	1	0	0	2	1	0	3	3	7	0	0	0	0	0	0	0	0	3	8	44	27	10	45	50	82	0	0	0	2	2	5	8	11	2.710849E7	6.030653E7	1.482434E9	1.5752267E8	5.7006836E7	1.9732912E8	9.56556E8	5.2359043E8	0.0	0.0	0.0	0.0	1.2247856E7	2.2849322E8	0.0	0.0	5.0342204E7	1.1860155E8	1.6556368E8	9.420615E7	5.8307376E7	1.3969672E8	1.4651614E8	2.7964166E8	0.0	0.0	0.0	0.0	2.8023896E7	3.2629918E7	0.0	0.0	
XP_044418353.1	XP_044418353.1			1042				1.0	0.999	32	83	7	342	0	1	20	2	0	25	23	12	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	97	3	0	79	100	62	0	0	0	0	0	0	0	0	0.0	0.0	1.4102067E8	3641863.2	0.0	2.1699155E8	2.1395864E8	1.7322619E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3033716E7	7606570.0	0.0	5.205683E7	5.3483184E7	4.4921988E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418359.1	XP_044418359.1			396				1.0	0.999	11	76	16	138	0	0	14	4	2	18	16	22	0	0	0	0	0	0	0	0	0	0	3	1	0	5	4	3	0	0	0	0	0	0	0	0	0	0	22	8	4	27	25	32	6	3	2	5	1	2	1	0	0.0	0.0	2.6463844E9	2.1875373E8	4.4595452E7	1.7047999E9	2.5063107E9	4.7866886E8	0.0	0.0	0.0	0.0	0.0	0.0	3.203788E7	0.0	0.0	0.0	3.7369098E8	2.5040232E8	4.2613427E8	4.0619968E8	4.2541677E8	5.715955E8	0.0	0.0	0.0	0.0	0.0	0.0	2.824515E8	0.0	
XP_044418364.1	XP_044418364.1			395				0.9776	0.999	3	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4074855.8	4247898.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4074855.8	3270553.5	0.0	0.0	
XP_044418365.1	XP_044418365.1			592				1.0	0.999	22	221	0	221	52	76	3	8	37	0	1	2	7	10	11	1	2	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	76	3	8	37	0	1	2	7	10	11	1	2	1	1	9	4.0543514E8	1.2631736E9	0.0	2.4899134E7	1.6785461E8	0.0	2093971.8	3774836.0	1.8739554E7	2.756428E7	2.96844E7	7549246.0	8957815.0	1.1008624E7	0.0	1.22395736E8	6.447957E7	1.098838E8	0.0	9802447.0	3.2560146E7	0.0	2847473.0	5133184.5	1.729112E7	3.7483096E7	2.6754044E7	1.026579E7	8704827.0	1.4970002E7	0.0	2.979425E8	XP_044418366.1
XP_044418382.1	XP_044418382.1			365				1.0	0.999	15	96	14	96	20	51	0	2	19	0	0	0	3	1	0	0	0	0	0	0	2	9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	20	51	0	2	19	0	0	0	3	1	0	0	0	0	0	0	3.472736E8	5.833658E8	0.0	3718503.0	6.0113812E7	0.0	0.0	0.0	1.0118685E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4780584E7	1.0128331E8	0.0	1.4242992E7	2.4809926E7	0.0	0.0	0.0	9985583.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418384.1	XP_044418384.1			256				1.0	0.999	13	218	1	218	28	65	4	9	13	0	5	7	17	12	12	8	12	14	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	28	65	4	9	13	0	5	7	17	12	12	8	12	14	8	4	5.480263E8	2.620493E9	7403785.5	2.064993E8	2.3719648E8	6213154.0	2.5151656E7	5.2820932E7	4.9089632E8	4.1678736E8	3.9758486E8	4.4460355E8	5.1017844E7	4.1525472E8	5.394723E7	1.896994E7	2.836469E8	4.1801197E8	3.3954356E7	8.289807E7	6.675606E7	6.0621668E7	3.8496616E7	1.017394E8	9.205671E7	1.27597144E8	8.595598E7	5.091596E7	8.067566E7	8.16662E7	7.946178E7	8.361373E7	
XP_044418385.1	XP_044418385.1			528				1.0	0.999	21	181	94	379	0	0	0	12	6	4	0	0	54	48	49	3	2	2	0	1	0	0	0	10	4	4	0	0	32	20	17	3	2	2	0	0	0	0	0	29	22	5	0	0	91	93	99	8	7	10	7	8	0.0	0.0	0.0	6.188962E7	5.74242E7	1816869.0	0.0	0.0	7.4970355E8	8.3432755E8	1.3884915E9	506553.1	5835329.5	314547.56	0.0	1.6370177E7	0.0	0.0	0.0	3.943819E7	1.5678262E7	7501570.5	0.0	0.0	6.8703496E7	7.075932E7	6.017234E7	3057297.8	5241471.5	3370716.5	0.0	4012119.0	
XP_044418405.1	XP_044418405.1			685				1.0	0.9984	7	19	0	79	3	2	1	0	0	2	3	0	0	0	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	2	0	2	3	0	8	19	20	5	5	7	1	1	2.0116842E7	2.369894E7	3808420.0	0.0	0.0	1.1685597E7	6227716.0	0.0	6662911.5	0.0	0.0	5739097.0	6160676.0	0.0	0.0	0.0	2.0116842E7	2.369894E7	3808420.0	0.0	0.0	1.1685597E7	6227716.0	0.0	6662911.5	0.0	0.0	5739097.0	6160676.0	0.0	0.0	0.0	XP_044418406.1, XP_044418407.1, XP_044418408.1, XP_044418410.1
XP_044418413.1	XP_044418413.1			649				1.0	0.999	12	60	2	166	0	0	6	1	3	5	5	0	7	2	2	10	7	12	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	10	9	12	14	3	18	10	11	23	14	27	1	0	0.0	0.0	1.7124444E7	1987573.1	2583131.2	9868395.0	1.83835E7	0.0	4.8043564E7	1.1874162E7	2.3130698E7	2.6303672E7	2.982456E7	5.9623704E7	0.0	0.0	0.0	0.0	1.1330616E7	1.730555E7	5157495.5	5838338.0	1.0159439E7	0.0	1.8830082E7	1.1099021E7	1.497798E7	1.4489529E7	1.5761902E7	1.5557603E7	0.0	0.0	
XP_044418426.1	XP_044418426.1			305				0.9956	0.999	11	26	26	2614	1	2	2	2	4	2	1	2	1	2	1	2	1	1	1	1	1	2	2	2	4	2	1	2	1	2	1	2	1	1	1	1	68	105	217	238	210	176	194	156	163	165	179	200	170	188	94	91	2616783.5	3740520.0	3072195.2	5546116.0	2265672.5	2805301.8	3192011.8	4022006.8	1747470.2	2122115.8	1631803.5	1649488.1	1917782.0	796339.06	988405.8	324728.12	2616783.5	3740520.0	3072195.2	5546116.0	2265672.5	2805301.8	3192011.8	4022006.8	1747470.2	2122115.8	1631803.5	1649488.1	1917782.0	796339.06	988405.8	324728.12	
XP_044418431.1	XP_044418431.1			541				1.0	0.999	40	67	67	730	0	0	0	0	0	0	0	0	20	31	13	0	3	0	0	0	0	0	0	0	0	0	0	0	20	31	13	0	3	0	0	0	0	0	0	0	3	0	0	0	180	297	211	2	19	6	2	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5383846E9	1.2717435E9	3.3518582E8	0.0	1.1230851E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8023923E8	5.556926E8	4.8001606E8	0.0	1.972352E7	0.0	0.0	0.0	
XP_044418432.1	XP_044418432.1			286				1.0	0.999	28	140	129	631	0	0	0	0	0	0	0	0	28	54	52	0	4	0	1	1	0	0	0	0	0	0	0	0	27	49	50	0	3	0	0	0	0	0	0	0	7	0	1	0	127	221	211	0	23	9	11	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.570797E9	3.4125983E9	2.0319017E9	0.0	2.108861E8	0.0	6.0467548E7	2.8099792E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.055482E9	2.6148687E9	1.8450899E9	0.0	1.9427458E8	0.0	6.0467548E7	3.3503827E8	
XP_044418433.1	XP_044418433.1			307				0.9997	0.9977	19	29	29	829	1	2	2	1	0	3	3	2	2	1	1	2	2	2	3	2	1	2	2	1	0	3	3	2	2	1	1	2	2	2	3	2	16	31	89	55	61	80	84	50	51	50	50	48	40	59	36	29	911231.2	1946652.4	5913094.5	0.0	0.0	2015110.1	4114085.8	1782144.8	2664095.8	2528707.0	1887569.6	1031967.2	1889980.6	1788398.0	1398422.8	1028736.56	911231.2	1946652.4	5913094.5	0.0	0.0	2015110.1	4114085.8	1782144.8	2664095.8	2528707.0	1887569.6	1031967.2	1889980.6	1788398.0	1398422.8	1028736.56	
XP_044418434.1	XP_044418434.1			368				1.0	0.999	4	22	1	22	1	1	3	0	1	2	1	2	3	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	1	2	1	2	3	1	1	2	2	2	0	0	6365900.5	6103885.0	4099157.5	1912808.5	3162216.8	3982414.0	5832157.0	4545643.0	5094352.0	3281235.0	5038271.0	838346.56	4859315.0	5464484.0	1224586.9	0.0	6365900.5	5848695.5	2339600.8	1912808.5	3030011.8	2256406.0	3337838.2	2572262.0	4881368.5	3144054.0	5038271.0	1196740.8	2781354.2	5236026.5	1748099.2	0.0	
XP_044418438.1	XP_044418438.1			171				1.0	0.999	5	33	0	33	1	0	1	4	5	6	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	5	6	7	9	0	0	0	0	0	0	0	0	9876292.0	0.0	3.0801357E8	1.18578856E8	8.382107E7	3.571313E7	2.2455597E8	1.5535877E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2698063E8	0.0	7.6011704E7	7.593355E7	4.7446316E7	7.2599944E7	1.0646771E8	9.820099E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418440.1	XP_044418440.1			512				0.9999	0.999	17	4	4	274	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	6	4	36	21	18	38	35	32	7	5	8	15	12	24	7	6	0.0	0.0	1449343.9	0.0	0.0	1854590.9	1208313.8	717614.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1449343.9	0.0	0.0	1854590.9	1208313.8	717614.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044418445.1	XP_044418445.1			358				1.0	0.999	14	561	15	561	5	3	57	69	39	61	53	67	21	18	26	33	33	28	33	15	0	0	2	2	1	2	2	1	1	0	0	2	0	0	1	1	5	3	57	69	39	61	53	67	21	18	26	33	33	28	33	15	2.1160442E7	2.771628E7	5.311424E8	8.411285E8	3.0377136E8	5.683129E8	2.437172E9	1.1624728E9	6.879571E7	1.10447816E8	4.8305706E8	1.5097053E8	1.0988635E8	9.346464E7	6.056206E8	9.625696E7	4.8667292E7	5.818962E7	1.4086904E8	1.5075602E8	1.0767006E8	1.7242802E8	2.1526848E8	2.9645034E8	7.0617384E7	7.657724E7	8.339427E7	8.955537E7	7.794635E7	7.768051E7	1.0435516E8	7.221216E7	
XP_044418454.1	XP_044418454.1			411				0.9999	0.999	17	41	41	437	0	3	1	3	3	5	3	0	1	1	3	4	3	6	2	3	0	3	1	3	3	5	3	0	1	1	3	4	3	6	2	3	7	15	36	25	23	41	39	23	27	17	22	39	45	45	20	13	0.0	5751735.0	5014681.5	4286986.5	5524351.0	4230398.5	5955702.0	0.0	4153992.2	3896481.2	4109858.0	5038141.0	3943268.2	4313146.0	6301249.5	6435922.5	0.0	5751735.0	5014681.5	4286986.5	5524351.0	4230398.5	5955702.0	0.0	4153992.2	3896481.2	4109858.0	5038141.0	3943268.2	4313146.0	6301249.5	6435922.5	
XP_044418456.1	XP_044418456.1			376				1.0	0.999	17	52	1	308	2	1	2	3	2	1	4	4	4	0	5	6	8	4	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	4	13	29	9	29	24	26	11	4	14	43	42	25	21	10	4.2504696E7	0.0	1.2281957E8	2.0398112E8	3377770.0	2.695241E8	3.7546458E8	1.5843909E8	1.9084246E8	0.0	1.49577E8	1.4096238E9	9.506272E8	1.0667679E8	1.36838E8	8.273139E7	2.9625362E7	0.0	6.917045E7	8.3313624E7	2.3177686E7	1.5512707E8	1.5782574E8	9.309855E7	1.6656432E8	0.0	1.1145862E8	3.180992E8	2.373573E8	1.1634956E8	1.0817456E8	5.676888E8	
XP_044418457.1	XP_044418457.1			238				1.0	0.999	32	157	157	2376	4	10	7	10	6	8	11	7	19	19	19	8	6	14	4	5	4	10	7	10	6	8	11	7	19	19	19	8	6	14	4	5	59	121	164	116	142	141	214	85	199	236	251	135	140	226	83	64	7.62627E7	2.772753E8	8.103989E8	3.7609517E8	3.7194208E8	3.6837498E8	1.1475347E9	1.969117E8	1.9696292E9	1.9225879E9	2.191025E9	8.52496E8	1.1750095E9	1.884731E9	2.9963264E8	2.6435792E8	1.5125482E8	2.8106742E8	3.978069E8	2.6494469E8	2.5961499E8	3.4185747E8	6.010149E8	1.93156E8	1.2118776E9	1.2718218E9	1.2609592E9	4.089331E8	3.8496934E8	4.5338733E8	2.2682491E8	1.2033218E8	
XP_044418460.1	XP_044418460.1			3924				1.0	0.999	120	1850	0	1850	94	125	200	165	207	191	237	47	71	150	173	56	80	51	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	125	200	165	207	191	237	47	71	150	173	56	80	51	2	1	3.323594E9	4.4788275E9	9.291146E9	5.04629E9	8.2946995E9	7.1173007E9	1.2511408E10	8.105232E8	1.7105258E9	5.553145E9	9.74197E9	1.5537597E9	1.7205029E9	1.00169626E9	1.3880578E10	2.213142E8	4.2445024E8	5.2433453E8	7.312264E8	3.2872595E8	6.4856416E8	6.592383E8	9.785483E8	1.7546387E8	1.7574032E8	4.2788912E8	7.175929E8	1.3147696E8	1.3807654E8	1.0334198E8	1.1487505E9	3.7759968E8	XP_044418461.1
XP_044418463.1	XP_044418463.1			266				0.9896	0.9976	8	1	1	310	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	79	2	23	38	3	2	0	26	20	14	11	13	22	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
